   2ns clock=0 pc=         0 inst=xxxxxxxx rs1_addr= x rs1_data=         x rs2_addr= x rs2_data=         x
 101ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 101ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 102ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 102ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 103ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 103ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 104ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 104ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 105ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 105ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 106ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 106ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 107ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 107ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 108ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 108ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 109ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 109ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 110ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 110ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 111ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 111ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 112ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 112ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 113ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 113ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 114ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 114ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 115ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 115ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 116ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 116ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
